benchmark,solver,score
data/suite_500/QF_BV/20210219-Sydr/predicate_484.smt2,z3::z3_bv_eager,0.049
data/suite_500/QF_BV/20210219-Sydr/predicate_488.smt2,cvc5::cvc5_bv_default,0.459
data/suite_500/QF_BV/20210219-Sydr/predicate_488.smt2,cvc5::cvc5_bv_eager,0.42
data/suite_500/QF_BV/20210219-Sydr/predicate_488.smt2,z3::z3_bv_default,0.045
data/suite_500/QF_BV/20210219-Sydr/predicate_488.smt2,z3::z3_bv_eager,0.05
data/suite_500/QF_BV/20210219-Sydr/predicate_494.smt2,cvc5::cvc5_bv_default,0.475
data/suite_500/QF_BV/20210219-Sydr/predicate_494.smt2,cvc5::cvc5_bv_eager,0.439
data/suite_500/QF_BV/20210219-Sydr/predicate_494.smt2,z3::z3_bv_default,0.039
data/suite_500/QF_BV/20210219-Sydr/predicate_494.smt2,z3::z3_bv_eager,0.048
data/suite_500/QF_BV/20210219-Sydr/predicate_547.smt2,cvc5::cvc5_bv_default,0.466
data/suite_500/QF_BV/20210219-Sydr/predicate_547.smt2,cvc5::cvc5_bv_eager,0.429
data/suite_500/QF_BV/20210219-Sydr/predicate_547.smt2,z3::z3_bv_default,0.044
data/suite_500/QF_BV/20210219-Sydr/predicate_547.smt2,z3::z3_bv_eager,0.049
data/suite_500/QF_BV/20210219-Sydr/predicate_601.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_601.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_601.smt2,z3::z3_bv_default,5.169
data/suite_500/QF_BV/20210219-Sydr/predicate_601.smt2,z3::z3_bv_eager,5.455
data/suite_500/QF_BV/20210219-Sydr/predicate_6368.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_6368.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_6368.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_6368.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_680.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_680.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_680.smt2,z3::z3_bv_default,5.541
data/suite_500/QF_BV/20210219-Sydr/predicate_680.smt2,z3::z3_bv_eager,5.717
data/suite_500/QF_BV/20210219-Sydr/predicate_8566.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_8566.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_8566.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_8566.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_913.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_913.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_913.smt2,z3::z3_bv_default,3.342
data/suite_500/QF_BV/20210219-Sydr/predicate_913.smt2,z3::z3_bv_eager,3.421
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i14.977a94e6.smt2,cvc5::cvc5_bv_default,0.932
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i14.977a94e6.smt2,cvc5::cvc5_bv_eager,0.903
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i14.977a94e6.smt2,z3::z3_bv_default,0.732
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i14.977a94e6.smt2,z3::z3_bv_eager,0.718
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i15.9dd29887.smt2,cvc5::cvc5_bv_default,0.698
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i15.9dd29887.smt2,cvc5::cvc5_bv_eager,0.678
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i15.9dd29887.smt2,z3::z3_bv_default,0.588
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i15.9dd29887.smt2,z3::z3_bv_eager,0.558
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i32.c384558c.smt2,cvc5::cvc5_bv_default,0.326
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i32.c384558c.smt2,cvc5::cvc5_bv_eager,0.282
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i32.c384558c.smt2,z3::z3_bv_default,0.588
data/suite_500/QF_BV/20221012-MCMPC/dualexecution.t1.i32.c384558c.smt2,z3::z3_bv_eager,0.567
data/suite_500/QF_BV/20221012-MCMPC/dualexecution_affine.t1.i4.8873db34.smt2,cvc5::cvc5_bv_default,0.135
data/suite_500/QF_BV/20221012-MCMPC/dualexecution_affine.t1.i4.8873db34.smt2,cvc5::cvc5_bv_eager,0.138
data/suite_500/QF_BV/20221012-MCMPC/dualexecution_affine.t1.i4.8873db34.smt2,z3::z3_bv_default,0.084
data/suite_500/QF_BV/20221012-MCMPC/dualexecution_affine.t1.i4.8873db34.smt2,z3::z3_bv_eager,0.087
