benchmark,solver,score
data/suite_500/QF_BV/20210219-Sydr/predicate_2746.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_2746.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_2746.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3021.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3021.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3021.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3021.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_307.smt2,cvc5::cvc5_bv_default,0.755
data/suite_500/QF_BV/20210219-Sydr/predicate_307.smt2,cvc5::cvc5_bv_eager,0.826
data/suite_500/QF_BV/20210219-Sydr/predicate_307.smt2,z3::z3_bv_default,1.331
data/suite_500/QF_BV/20210219-Sydr/predicate_307.smt2,z3::z3_bv_eager,1.366
data/suite_500/QF_BV/20210219-Sydr/predicate_3655.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3655.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3655.smt2,z3::z3_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_3655.smt2,z3::z3_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_427.smt2,cvc5::cvc5_bv_default,0.493
data/suite_500/QF_BV/20210219-Sydr/predicate_427.smt2,cvc5::cvc5_bv_eager,0.572
data/suite_500/QF_BV/20210219-Sydr/predicate_427.smt2,z3::z3_bv_default,1.049
data/suite_500/QF_BV/20210219-Sydr/predicate_427.smt2,z3::z3_bv_eager,1.058
data/suite_500/QF_BV/20210219-Sydr/predicate_484.smt2,cvc5::cvc5_bv_default,0.454
data/suite_500/QF_BV/20210219-Sydr/predicate_484.smt2,cvc5::cvc5_bv_eager,0.432
data/suite_500/QF_BV/20210219-Sydr/predicate_484.smt2,z3::z3_bv_default,0.044
